timestamp;buyer;seller;symbol;currency;price;quantity
95100;;;EMERALDS;XIRECS;9992.0;7
96500;;;EMERALDS;XIRECS;10008.0;6
97200;;;TOMATOES;XIRECS;4978.0;4
97500;;;TOMATOES;XIRECS;4978.0;3
98000;;;EMERALDS;XIRECS;9992.0;7
98400;;;EMERALDS;XIRECS;10008.0;7
101200;;;EMERALDS;XIRECS;10008.0;6
101600;;;EMERALDS;XIRECS;10000.0;6
103700;;;EMERALDS;XIRECS;9992.0;5
108000;;;EMERALDS;XIRECS;9992.0;4
110200;;;TOMATOES;XIRECS;4986.0;5
110700;;;EMERALDS;XIRECS;9992.0;6
111900;;;TOMATOES;XIRECS;4986.0;3
112000;;;TOMATOES;XIRECS;4999.0;4
113000;;;TOMATOES;XIRECS;4999.0;4
116300;;;TOMATOES;XIRECS;5001.0;2
120900;;;TOMATOES;XIRECS;4990.0;3
124800;;;TOMATOES;XIRECS;4989.0;2
128400;;;EMERALDS;XIRECS;9992.0;3
128700;;;TOMATOES;XIRECS;4988.0;3
129000;;;TOMATOES;XIRECS;5001.0;2
130500;;;TOMATOES;XIRECS;4985.0;3
130900;;;TOMATOES;XIRECS;4985.0;2
131700;;;EMERALDS;XIRECS;10008.0;8
131900;;;TOMATOES;XIRECS;4999.0;4
132100;;;EMERALDS;XIRECS;9992.0;6
132100;;;TOMATOES;XIRECS;4986.0;4
133400;;;TOMATOES;XIRECS;5001.0;4
133700;;;EMERALDS;XIRECS;10008.0;8
133900;;;EMERALDS;XIRECS;9992.0;3
135500;;;EMERALDS;XIRECS;9992.0;5
135600;;;EMERALDS;XIRECS;9992.0;7
136200;;;TOMATOES;XIRECS;4987.0;4
137600;;;TOMATOES;XIRECS;5001.0;5
141300;;;EMERALDS;XIRECS;9992.0;6
141700;;;TOMATOES;XIRECS;4997.0;5
144200;;;TOMATOES;XIRECS;4986.0;2
146100;;;EMERALDS;XIRECS;10008.0;4
151500;;;TOMATOES;XIRECS;4984.0;2
152000;;;EMERALDS;XIRECS;9992.0;4
153400;;;TOMATOES;XIRECS;4996.0;4
154700;;;EMERALDS;XIRECS;9992.0;6
156700;;;TOMATOES;XIRECS;4997.0;3
157600;;;TOMATOES;XIRECS;4996.0;3
158300;;;EMERALDS;XIRECS;10008.0;3
158900;;;TOMATOES;XIRECS;4976.0;2
159200;;;TOMATOES;XIRECS;4978.0;3
161000;;;TOMATOES;XIRECS;4977.0;3
161800;;;TOMATOES;XIRECS;4976.0;2
162400;;;TOMATOES;XIRECS;4976.0;3
162900;;;TOMATOES;XIRECS;4975.0;5
167300;;;TOMATOES;XIRECS;4982.0;2
168200;;;TOMATOES;XIRECS;4995.0;4
170100;;;EMERALDS;XIRECS;10000.0;6
170800;;;TOMATOES;XIRECS;4982.0;3
176000;;;TOMATOES;XIRECS;4998.0;4
176300;;;TOMATOES;XIRECS;4984.0;3
176900;;;TOMATOES;XIRECS;4985.0;2
180300;;;TOMATOES;XIRECS;4981.0;3
181100;;;TOMATOES;XIRECS;4982.0;4
182600;;;TOMATOES;XIRECS;4981.0;5
182700;;;EMERALDS;XIRECS;10008.0;5
185200;;;TOMATOES;XIRECS;4997.0;3
187100;;;TOMATOES;XIRECS;5000.0;2
187600;;;TOMATOES;XIRECS;4988.0;3
188300;;;TOMATOES;XIRECS;5002.0;5
189000;;;TOMATOES;XIRECS;4987.0;3
191700;;;TOMATOES;XIRECS;5000.0;3
192700;;;TOMATOES;XIRECS;4984.0;3
195700;;;TOMATOES;XIRECS;4991.0;3
